"Slovenija"
" ";"15-24"
" ";" ";"Povprečno število prenočitev"
" ";" ";" ";"2007Q4";29.76
" ";" ";" ";"2008Q1";31.41
" ";" ";" ";"2008Q2";36.09
" ";" ";" ";"2008Q3";30.39
" ";" ";" ";"2008Q4";34.44
" ";" ";" ";"2009Q1";33.68
" ";" ";" ";"2009Q2";32.92
" ";" ";" ";"2009Q3";39.88
" ";" ";" ";"2009Q4";34.82
" ";" ";" ";"2010Q1";39.44
" ";" ";" ";"2010Q2";37.03
" ";" ";" ";"2010Q3";38.02
" ";" ";" ";"2010Q4";39.50
" ";" ";" ";"2011Q1";34.54
" ";" ";" ";"2011Q2";34.66
" ";" ";" ";"2011Q3";33.79
" ";" ";" ";"2011Q4";33.78
" ";" ";" ";"2012Q1";35.51
" ";" ";" ";"2012Q2";38.56
" ";" ";" ";"2012Q3";27.19
" ";" ";" ";"2012Q4";31.58
" ";" ";" ";"2013Q1";36.36
" ";" ";" ";"2013Q2";35.25
" ";" ";" ";"2013Q3";33.25
" ";" ";" ";"2013Q4";36.13
" ";" ";" ";"2014Q1";35.74
" ";" ";" ";"2014Q2";38.63M
" ";" ";" ";"2014Q3";42.18
" ";" ";" ";"2014Q4";36.00
" ";"45-64"
" ";" ";"Povprečno število prenočitev"
" ";" ";" ";"2005Q1";2.7
" ";" ";" ";"2005Q2";2.6
" ";" ";" ";"2005Q3";4.2
" ";" ";" ";"2005Q4";3.4
" ";" ";" ";"2006Q1";2.3
" ";" ";" ";"2006Q2";2.7
" ";" ";" ";"2006Q3";3.3
" ";" ";" ";"2006Q4";2.8
" ";" ";" ";"2007Q1";2.6
" ";" ";" ";"2007Q2";2.9M
" ";" ";" ";"2007Q3";3.8
" ";" ";" ";"2007Q4";2.6
" ";" ";" ";"2008Q1";2.2
" ";" ";" ";"2008Q2";2.9
" ";" ";" ";"2008Q3";4.4
" ";" ";" ";"2008Q4";2.6
" ";" ";" ";"2009Q1";3.2
" ";" ";" ";"2009Q2";2.6
" ";" ";" ";"2009Q3";3.8
" ";" ";" ";"2009Q4";2.5
" ";" ";" ";"2010Q1";2.5
" ";" ";" ";"2010Q2";2.4
" ";" ";" ";"2010Q3";3.8
" ";" ";" ";"2010Q4";2.5
" ";" ";" ";"2011Q1";2.6
" ";" ";" ";"2011Q2";2.7
" ";" ";" ";"2011Q3";3.4
" ";" ";" ";"2011Q4";2.8
" ";" ";" ";"2012Q1";2.7M
" ";" ";" ";"2012Q2";2.4M
" ";" ";" ";"2012Q3";3.4
" ";" ";" ";"2012Q4";2.2
" ";" ";" ";"2013Q1";2.5M
" ";" ";" ";"2013Q2";2.6M
" ";" ";" ";"2013Q3";3.3
" ";" ";" ";"2013Q4";2.1
" ";" ";" ";"2014Q1";2.5M
" ";" ";" ";"2014Q2";2.7M
" ";" ";" ";"2014Q3";3.1
" ";" ";" ";"2014Q4";2.7
" ";" ";"Povprečni izdatki na turista na prenočitev (EUR)"
" ";" ";" ";"2005Q1";27.28
" ";" ";" ";"2005Q2";23.19
" ";" ";" ";"2005Q3";24.96
" ";" ";" ";"2005Q4";21.18
" ";" ";" ";"2006Q1";28.17
" ";" ";" ";"2006Q2";23.44
" ";" ";" ";"2006Q3";24.09
" ";" ";" ";"2006Q4";24.54
" ";" ";" ";"2007Q1";36.16
